clust,num,tissue.subsets,tissue,identity.super,identity.sub,identity.super.short,identity.sub.short,zfin,daniocell.cluster,clust.collapse,ident.gene.1,ident.gene.2,ident.gene.3,roc.1,roc.2,roc.3,roc.4,roc.5,roc.6,wilcox.1,wilcox.2,wilcox.3,wilcox.4,wilcox.5,wilcox.6,
endo.14,14,endoderm,gut,intestine,"progenitors, secretory",intestine,"progenitors, secretory",,endo.14,endo.ct.9,tnfrsf11a,atoh1b,ascl1b,si:ch211-39i22.1,si:dkey-33i11.9,rplp1,rplp2l,phlda2,grasp,atoh1b,dld,grasp,LOC101885606,tnfrsf11a,ascl1a,
endo.15,15,endoderm,gut,intestine,goblet cells,intestine,goblet cells,ZFA:0009094,endo.15,endo.ct.15,agr2,muc2.1,atoh1b,cd63,agr2,krt18a.1,tmem176l.2,lgals2b,phlda2,atoh1b,CABZ01112049.1,fer1l6,LOC110438407,st3gal1,XLOC-021234,
endo.16,16,endoderm,gut,intestine,best4+ cells,intestine,best4+ cells,ZFA:0009269,endo.16,endo.ct.16,best4,otop2,cftr,lgals2b,tmem176l.2,ca2,BX248318.1,id2a,cfd,cftr,LOC100536213,LOC101885538,LOC101885606,LOC101886860,otop2,
endo.17,17,endoderm,gut,intestine,enteroendocrine cells,intestine,enteroendocrine cells,ZFA:0009097,endo.17,endo.ct.17,adcyap1a,penka,,adcyap1a,tmem176l.2,ier2b,anxa4,hbegfb,scg3,adcyap1a,BX088587.1,cacna2d4a,galr1a,lmx1ba,nmu,
endo.18,18,endoderm,gut,intestine,tuft-like,intestine,tuft-like,,endo.18,endo.ct.18,pou2f3,tnfrsf11a,sox8b,pou2f3,id2b,ucp2,gnb1b,ckbb,h3f3c,AL954142.1,LOC100538255,LOC101885876,LOC103909050,LOC108180123,LOC110438226,
endo.19,19,endoderm,endocrine pancreas,endocrine pancreas,epsilon cells,endocrine pancreas,epsilon cells,ZFA:0005598,endo.19,endo.ct.19,arxa,pax4,pyyb,anxa4,scg3,neurod1,sat1a.2,CR383676.1,tm4sf4,arxa,dll4,insm1b,neurod1,scg3,scgn,
endo.20,20,endoderm,endocrine pancreas,endocrine pancreas,alpha/beta/delta cells,endocrine pancreas,alpha/beta/delta cells,"ZFA:0005755,ZFA:0005743",endo.20,endo.ct.19,ins,gcgb,neurod1,scgn,scg3,neurod1,pax6b,gapdhs,insm1a,abcc8,aldocb,c2cd4a,cacna1c,cacna1da,camk1da,
endo.21,21,endoderm,endocrine pancreas,endocrine pancreas,polypeptide cells,endocrine pancreas,polypeptide cells,ZFA:0005742,endo.21,endo.ct.19,ccka,pax4,NA,si:zfos-2372e4.1,scg3,anxa4,s100a1,ccka,tm4sf4,ccka,FP236331.1,pax4,XLOC-013106,si:zfos-2372e4.1,slc6a3,
endo.22,22,endoderm,exocrine pancreas,exocrine pancreas,ptf1a+ progenitors,exocrine pancreas,ptf1a+ progenitors,"ZFA:0001369,ZFA:0001249",endo.22,endo.ct.22,cpa4/5,ptf1a,itga4,fep15,rtn1a,AL845362.1,erp27,pdia2,si:ch211-255i20.3,amy2a,apoda.2,bglapl,c6ast4,calcrla,cel.2,
endo.23,23,endoderm,exocrine pancreas,exocrine pancreas,centroacinar cells,exocrine pancreas,centroacinar cells,"ZFA:0001249,ZFA:0005740",endo.23,endo.ct.22,ela2l/ela3l,sycn.2,amy2a,ela2l,ctrl,prss1,zgc:112160,cpb1,CELA1 (1 of many),aff2,amy2a,ANPEP,apoda.2,aqp12,atp6v0cb,
endo.24,24,endoderm,endoderm,progenitors,sox32+,progenitors,sox32+ progenitors,ZFA:0000416,endo.24,endo.ct.24,sox32,hmga1a,hspb1,marcksl1b,hmga1a,si:ch211-152c2.3,hnrnpa1b,akap12b,hspb1,abtb2a,acin1a,ackr3b,add3b,ahi1,aif1l,
endo.25,25,endoderm,endoderm,progenitors,ventral,progenitors,"endoderm, ventral",ZFA:0009139,endo.24,endo.ct.24,cdx4,ved/vox,tbx16,cdx4,si:ch73-281n10.2,si:ch73-1a9.3,ptmab,hspb1,NC-002333.4,cdx4,nradd,tbx16l,vox,wu:fb97g03,hspb1,
endo.26,26,endoderm,endoderm,progenitors,dorsal,progenitors,anterior endoderm,ZFA:0009139,endo.24,endo.ct.24,irx7,cxcl12b,foxa2,hmgn6,NC-002333.4,si:ch73-281n10.2,ptmab,si:ch211-152c2.3,rps18,cxcl12b,cyp26c1,nkx2.7,irx7,mcama,si:dkey-43p13.5,
endo.27,27,endoderm,endoderm,progenitors,gut,progenitors,gut,,endo.27,endo.ct.9,foxa2,col2a1a,NA,rbp5,ran,hsp90ab1,col2a1a,hnrnpa0l,si:ch211-222l21.1,apcdd1l,CABZ01075068.1,col2a1a,col8a1a,dhrs3a,epb41l4a,
endo.28,28,endoderm,endoderm,progenitors,hepatopancreatic,progenitors,hepatopancreatic,,endo.28,endo.ct.28,sox9b,hnf1bb,hhex,si:ch211-137i24.10,anxa4,krt18a.1,id2b,hhex,prxl2b,adrb3b,alkal2b,art4,fybb,grap2a,KCNJ15,
endo.29,29,endoderm,gut,pharynx,,pharynx,,ZFA:0001104,endo.29,endo.ct.29,icn,tcnba,capn2b,icn,BX908782.3,wu:fj19g03,tcnba,cnfn,s100a10b,adam28,ankdd1b,anxa3a,anxa5b,aqp3a,atp8b3,
endo.30,30,endoderm,gut,esophagus,,esophagus,,ZFA:0000204,endo.30,endo.ct.30,muc5.3,agr2,cldnh,icn,epcam,cfl1l,b3gnt7,si:dkey-87o1.2,muc5.3,abca12,abcb5,abi3b,ablim2,acap1,agr2,
endo.31,31,endoderm,gut,cloaca,,cloaca,,ZFA:0005781,endo.31,endo.ct.31,eve1/evx1,malb,irg1l,ubc,jun,selenow1,f11r.1,btg2,krt8,cnfn,dlx2a,eve1,evx1,hoxa13a,hoxa13b,
endo.32,32,endoderm,gut,pneumatic duct,surfactant cells,pneumatic duct,surfactant cells,ZFA:0001430,endo.32,endo.ct.32,sftpba,sim1b,mnx1,marcksl1a,bcam,anxa3b,cd9b,cldnc,tmsb4x,abca12,adcy2b,aqp1a.1,arhgap29b,arsia,b3gnt5a,
endo.33,33,endoderm,endoderm,thyroid,NA,thyroid,NA,ZFA:0009210,endo.33,endo.ct.33,tg,nkx2.4b,,tg,nkx2.4b,cep57l1,lta4h,cx30.3,wu:fj05g07,adamts17,adamtsl2,aspn,CABZ01101984.1,CABZ01117840.1,calhm6,
endo.34,34,endoderm,,likely doublets,liver/neural,likely doublets,liver/neural,,endo.34,,tfa,cspg5a,elavl3,tuba1c,h3f3d,ptmab,nova2,marcksl1b,tuba1a,cspg5a,nova2,tuba1a,pou3f1,msi1,mdkb,
epid.1,1,epidermis,epidermis,epidermis,"96-120hpf, posterior",epidermis,"96-120hpf, posterior",,epid.1,epid.ct.1,ecrg4a,igfbp2a,,si:dkey-33c14.3,zgc:136930,zgc:77439,si:dkey-183i3.5,cxl34b.11,krt91,ahcy,apoa1b,apoa2,CABZ01044277.1,CABZ01044281.1,ccl25b,
epid.2,2,epidermis,epidermis,pharyngeal ectoderm,,pharyngeal ectoderm,,,epid.2,epid.ct.2,barx2+/barx1-,krt15,postna,epgn,krt15,aqp3a,postna,igfbp7,apoeb,aqp3a,barx2,col17a1b,epgn,fmodb,igfbp7,
epid.3,3,epidermis,epidermis,epidermis,"72-100 hpf, posterior",epidermis,"72-100 hpf, posterior",,epid.3,epid.ct.1,ecrg4a,igfbp2a,,krtt1c19e,si:dkey-183i3.5,rbp4,zgc:136930,sparc,krt5,aep1,CABZ01044277.1,CABZ01044281.1,cav1,cdo1,cfd,
epid.4,4,epidermis,epidermis,periderm,oral / pharyngeal epithelium (earlier),periderm,oral / pharyngeal epithelium (earlier),,epid.4,epid.ct.4,lye/agr1,krt1-19d/foxe3,evplb,ponzr5,icn,krt92,ppl,evplb,icn2,abca12,abhd12,acaca,acap1,acer1,aclya,
epid.5,5,epidermis,epidermis,epidermis/placodal ectoderm,"placodal six3a/b+, epidermal anterior",epidermis (anterior),+ placodal ecto. (six3a/b+),,epid.5,epid.ct.22,six3a/b,krt97,,tnn,dcn,matn4,padi2,cavin2b,cyt1l,bmp6,dcn,dlx4a,dlx4b,krt97,matn4,
epid.6,6,epidermis,epidermis,pharyngeal pouch,endodermal derived? foxa2/foxa3/shha/shhb+,pharyngeal pouch,endodermal? (foxa2/3/shh+),,epid.6,epid.ct.25,barx1/nkx2.3,foxa2/foxa3,shha/shhb,shhb,shha,pitx2,pitx1,icn,ociad2,anos1a,barx1,fabp2,fgfrl1b,foxa1,foxa2,
epid.7,7,epidermis,epidermis,epidermis,"somitogenesis, posterior",epidermis,"somitogenesis, posterior",,epid.7,epid.ct.1,emx2/emx3?,cdx4,,cdx4,apoc1,tpm4a,hoxc3a,emx2,BX927258.1,akap12b,anp32e,apela,apex1,apoc1,apoc2,
epid.8,8,epidermis,epidermis,epidermis,"36-72 hpf, technical (low UMI)",epidermis,36-72 hpf (tech. low UMI),,epid.8,epid.ct.1,krtt1c19e,cldn1,cldni,tmsb4x,rps29,rpl38,rpl29,pabpc1a,si:dkey-151g10.6,tmsb4x,rps29,rpl38,rpl29,pabpc1a,si:dkey-151g10.6,
epid.9,9,epidermis,epidermis,epidermis,actively dividing,epidermis,actively dividing,,epid.9,epid.ct.1,cenpe,kpna2,mki67,tubb2b,tuba8l,mki67,kpna2,mad2l1,birc5a,anln,arhgap11a,arhgap19,armc1l,aspm,aurka,
epid.10,10,epidermis,epidermis,epidermis,"60-120 hpf, anterior",epidermis,"60-120 hpf, anterior",,epid.10,epid.ct.1,cldn1/cldni,krt97,,krt5,cckb,krt91,ahcy,zgc:136930,tgfbi,ahcy,CABZ01044281.1,cxl34b.11,dlx4a,eevs,hhipl2,
epid.11,11,epidermis,epidermis,epidermis,yolk lining,epidermis,yolk lining,,epid.11,epid.ct.1,fn1b,rbp4,cxcl8a,rbp4,col12a1b,mdka,cxcl8a,fn1b,col5a1,abi3bpb,cfd,col12a1b,fn1b,rbp4,si:ch211-196i2.1,
epid.12,12,epidermis,epidermis,epidermis,"14-60 hpf, mid-body/yolk-associated (wnt10b+)",epidermis,"14-60 hpf, mid-body/yolk-assoc.",,epid.12,epid.ct.1,wnt10b,sfrp5,fn1b,krt8,zgc:153867,actb2,actb1,cyp26a1,s100a10b,actb1,actb2,apcdd1l,arhgef25b,bambia,bmp6,
epid.13,13,epidermis,epidermis,epidermis,"36-60 hpf, posterior",epidermis,"36-60 hpf, posterior",,epid.13,epid.ct.1,ecrg4a,igfbp2a,,krt4,cyt1l,aep1,col11a1a,thy1,dcn,aep1,c7a,col11a1a,col28a1a,cst14b.1,cyt1l,
epid.14,14,epidermis,epidermis,epidermis,"24-34 hpf, posterior",epidermis,"24-34 hpf, posterior",,epid.14,epid.ct.1,ecrg4a,igfbp2a,,col7a1l,mdka,tpm4a,krt8,ssr3,sdr16c5a,adamts1,adamts15a,col14a1a,col7a1l,cxcl12a,dhrs3a,
epid.15,15,epidermis,epidermis,placodal ectoderm,,placodal ectoderm,,,epid.15,epid.ct.22,six1a/b,eya1/foxi1,pax2/pax8,si:ch211-222l21.1,khdrbs1a,h3f3d,hnrnpaba,hnrnpa0l,si:dkey-42i9.4,apex1,CABZ01075068.1,cyp27c1,dkk2,eya1,foxg1a,
epid.16,16,epidermis,epidermis,pharyngeal pouch,neural crest derived? 24-90 hpf (pax1a/b+ foxc1a/b+),pharyngeal pouch,NC-derived? 24-90 hpf,,epid.16,epid.ct.25,barx1/nkx2.3,pax1a/pax1b,foxc1a/foxc1b,nanos1,si:ch211-222l21.1,pax1b,rpl13a,six1b,si:dkey-43p13.5,clstn1,cxcl12b,emx1,eya1,fgf17,fgf20b,
epid.17,17,epidermis,epidermis,likely doublets,epidermis/neural,likely doublets,epidermis/neural,,epid.17,,krtt1c19e,elavl3,stmn1a,elavl3,stmn1b,tuba1c,gpm6aa,rtn1a,nova2,aatkb,adam22,adam23a,adcyap1b,add2,adgrb1a,
epid.18,18,epidermis,epidermis,epidermis,"24-34 hpf, posterior",epidermis,"24-34 hpf, posterior",,epid.18,epid.ct.1,cldn1/cldni,hoxc13a/hoxc13b/hoxc11a,ssr2/ssr3/ssr4,mdka,vcana,ssr4,ssr3,ssr2,col14a1a,adamtsl7,angptl7,bhlha9,ccdc3a,col14a1a,col4a3,
